date,1-min,Nodes,CPUs,Procs
2022/12/11-20:10:00,2.4406666667,8,65,7
2022/12/11-20:10:15,2.5873333333,8,65,7
2022/12/11-20:10:30,2.6013333333,8,65,7
2022/12/11-20:10:45,2.6,8,65,7
2022/12/11-20:11:00,2.72,8,65,4.6
2022/12/11-20:11:15,2.75,8,65,4
2022/12/11-20:11:30,2.718,8,65,4
2022/12/11-20:11:45,2.814,8,65,3.2
2022/12/11-20:12:00,2.768,8,65,3
2022/12/11-20:12:15,2.622,8,65,7
2022/12/11-20:12:30,2.59,8,65,8
2022/12/11-20:12:45,2.59,8,65,8
